[DEBUG] 2022-10-10 13:54:09.726 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-10-10 13:54:09.735 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-10-10 13:54:09.742 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-10-10 13:54:09.856 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-10-10 13:54:09.860 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-10-10 13:54:10.215 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-10-10 13:54:10.217 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-10-10 13:54:10.228 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-10-10 13:54:10.698 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-10-10 13:54:10.743 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-10-10 13:54:10.744 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-10-10 13:54:10.766 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-10-10 13:54:10.829 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@459cfcca
[DEBUG] 2022-10-10 13:54:10.829 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@459cfcca
[DEBUG] 2022-10-10 13:54:10.829 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@459cfcca
[DEBUG] 2022-10-10 13:54:10.830 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@e322ec9
[DEBUG] 2022-10-10 13:54:10.830 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4afd21c6
[DEBUG] 2022-10-10 13:54:10.832 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@52cb4f50
[DEBUG] 2022-10-10 13:54:10.838 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7f5eae0f
[DEBUG] 2022-10-10 13:54:10.838 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7f5eae0f
[DEBUG] 2022-10-10 13:54:10.838 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7f5eae0f
[DEBUG] 2022-10-10 13:54:10.839 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@68577ba8
